year,sex,age,population,age_order
2016,female,0-4,1270.4,0
2019,female,0-4,1248.9,0
2018,female,0-4,1256.5,0
2019,male,0-4,-1331.1,0
2020,female,0-4,1233.0,0
2017,male,0-4,-1350.1,0
2020,male,0-4,-1286.4,0
2021,female,0-4,1195.8,0
2025,male,0-4,-1192.5,0
2021,male,0-4,-1249.8,0
2017,female,0-4,1263.5,0
2022,male,0-4,-1214.8,0
2023,female,0-4,1150.8,0
2023,male,0-4,-1215.7,0
2022,female,0-4,1159.3,0
2018,male,0-4,-1338.8,0
2016,male,0-4,-1360.0,0
2025,female,0-4,1114.2,0
2024,female,0-4,1140.6,0
2024,male,0-4,-1214.8,0
2016,female,15-19,1381.0,1
2018,female,15-19,1382.8,1
2019,female,15-19,1377.4,1
2025,female,15-19,1289.3,1
2019,male,15-19,-1480.1,1
2020,female,15-19,1350.9,1
2025,male,15-19,-1415.9,1
2017,male,15-19,-1487.6,1
2024,male,15-19,-1427.9,1
2023,male,15-19,-1454.4,1
2021,female,15-19,1329.9,1
2016,male,15-19,-1481.7,1
2020,male,15-19,-1488.6,1
2024,female,15-19,1296.7,1
2021,male,15-19,-1470.8,1
2018,male,15-19,-1489.2,1
2017,female,15-19,1383.5,1
2023,female,15-19,1319.9,1
2022,female,15-19,1322.3,1
2022,male,15-19,-1459.6,1
2018,male,20-24,-1704.1,2
2023,female,20-24,1391.0,2
2025,female,20-24,1425.1,2
2022,male,20-24,-1565.6,2
2019,female,20-24,1505.2,2
2024,female,20-24,1428.9,2
2019,male,20-24,-1675.9,2
2021,female,20-24,1338.2,2
2022,female,20-24,1347.2,2
2020,female,20-24,1322.4,2
2024,male,20-24,-1727.6,2
2021,male,20-24,-1554.7,2
2023,male,20-24,-1650.8,2
2025,male,20-24,-1730.5,2
2020,male,20-24,-1544.6,2
2016,female,20-24,1540.8,2
2017,male,20-24,-1707.3,2
2016,male,20-24,-1703.8,2
2017,female,20-24,1537.5,2
2018,female,20-24,1528.4,2
2025,male,25-29,-1731.6,3
2023,male,25-29,-1624.4,3
2016,male,25-29,-1702.0,3
2023,female,25-29,1300.9,3
2025,female,25-29,1355.1,3
2019,male,25-29,-1746.2,3
2022,female,25-29,1281.1,3
2021,male,25-29,-1560.0,3
2017,male,25-29,-1731.4,3
2020,female,25-29,1310.0,3
2017,female,25-29,1507.3,3
2021,female,25-29,1291.7,3
2022,male,25-29,-1553.9,3
2019,female,25-29,1524.4,3
2020,male,25-29,-1581.6,3
2016,female,25-29,1487.4,3
2024,female,25-29,1332.2,3
2018,female,25-29,1525.3,3
2024,male,25-29,-1704.1,3
2018,male,25-29,-1756.5,3
2018,male,30-34,-1506.0,4
2020,male,30-34,-1565.0,4
2016,female,30-34,1324.2,4
2021,female,30-34,1326.9,4
2017,female,30-34,1348.1,4
2020,female,30-34,1342.1,4
2018,female,30-34,1362.9,4
2017,male,30-34,-1493.6,4
2021,male,30-34,-1538.7,4
2023,male,30-34,-1570.5,4
2022,female,30-34,1321.3,4
2025,female,30-34,1295.7,4
2024,male,30-34,-1626.0,4
2022,male,30-34,-1528.8,4
2019,male,30-34,-1502.4,4
2019,female,30-34,1367.7,4
2016,male,30-34,-1473.6,4
2025,male,30-34,-1593.7,4
2024,female,30-34,1330.1,4
2023,female,30-34,1318.9,4
2020,male,35-39,-1464.4,5
2023,female,35-39,1339.2,5
2021,female,35-39,1306.6,5
2025,female,35-39,1332.6,5
2022,female,35-39,1312.9,5
2024,female,35-39,1335.2,5
2024,male,35-39,-1521.5,5
2016,female,35-39,1057.3,5
2016,male,35-39,-1179.6,5
2022,male,35-39,-1464.2,5
2017,female,35-39,1108.5,5
2023,male,35-39,-1505.3,5
2021,male,35-39,-1471.3,5
2019,female,35-39,1208.8,5
2025,male,35-39,-1516.8,5
2018,female,35-39,1164.6,5
2018,male,35-39,-1274.1,5
2019,male,35-39,-1304.0,5
2017,male,35-39,-1226.1,5
2020,female,35-39,1278.2,5
2025,male,40-44,-1400.0,6
2021,male,40-44,-1209.1,6
2018,female,40-44,938.9,6
2017,male,40-44,-999.5,6
2020,female,40-44,1027.7,6
2022,female,40-44,1102.5,6
2017,female,40-44,933.8,6
2023,male,40-44,-1320.7,6
2016,male,40-44,-987.8,6
2024,female,40-44,1223.4,6
2019,female,40-44,948.3,6
2021,female,40-44,1058.1,6
2022,male,40-44,-1256.6,6
2025,female,40-44,1260.5,6
2016,female,40-44,930.7,6
2018,male,40-44,-1012.1,6
2024,male,40-44,-1384.6,6
2019,male,40-44,-1022.3,6
2020,male,40-44,-1167.1,6
2023,female,40-44,1157.1,6
2017,male,45-49,-881.4,7
2022,male,45-49,-971.9,7
2025,male,45-49,-1100.1,7
2019,female,45-49,878.4,7
2023,male,45-49,-1008.1,7
2025,female,45-49,1004.6,7
2024,female,45-49,967.4,7
2016,female,45-49,867.7,7
2018,male,45-49,-890.5,7
2024,male,45-49,-1051.0,7
2023,female,45-49,947.5,7
2016,male,45-49,-873.7,7
2018,female,45-49,878.4,7
2020,female,45-49,885.9,7
2021,male,45-49,-964.4,7
2020,male,45-49,-957.8,7
2022,female,45-49,922.0,7
2019,male,45-49,-895.9,7
2017,female,45-49,874.0,7
2021,female,45-49,905.8,7
2019,female,50-54,817.1,8
2024,male,50-54,-877.4,8
2020,male,50-54,-804.0,8
2017,male,50-54,-814.4,8
2016,female,50-54,773.0,8
2025,female,50-54,861.6,8
2021,male,50-54,-813.7,8
2023,male,50-54,-851.5,8
2023,female,50-54,824.4,8
2021,female,50-54,791.8,8
2022,female,50-54,808.0,8
2018,male,50-54,-813.5,8
2022,male,50-54,-830.2,8
2025,male,50-54,-897.5,8
2020,female,50-54,782.0,8
2019,male,50-54,-810.2,8
2016,male,50-54,-812.1,8
2024,female,50-54,845.7,8
2018,female,50-54,806.0,8
2017,female,50-54,790.0,8
2016,female,55-59,660.4,9
2017,female,55-59,677.9,9
2018,male,55-59,-724.3,9
2023,male,55-59,-737.1,9
2024,female,55-59,737.3,9
2021,female,55-59,722.4,9
2022,female,55-59,722.8,9
2020,male,55-59,-743.4,9
2025,male,55-59,-751.0,9
2021,male,55-59,-738.4,9
2023,female,55-59,734.9,9
2019,female,55-59,708.1,9
2024,male,55-59,-735.5,9
2017,male,55-59,-705.9,9
2025,female,55-59,754.9,9
2022,male,55-59,-729.2,9
2019,male,55-59,-736.6,9
2016,male,55-59,-685.0,9
2018,female,55-59,693.7,9
2020,female,55-59,716.4,9
2025,male,60-64,-684.3,10
2024,male,60-64,-672.2,10
2018,female,60-64,565.1,10
2020,male,60-64,-576.8,10
2021,female,60-64,601.3,10
2024,female,60-64,667.4,10
2018,male,60-64,-565.5,10
2016,female,60-64,517.6,10
2023,male,60-64,-647.9,10
2017,male,60-64,-544.0,10
2023,female,60-64,643.1,10
2021,male,60-64,-607.4,10
2019,female,60-64,586.3,10
2019,male,60-64,-585.1,10
2017,female,60-64,541.1,10
2016,male,60-64,-523.2,10
2025,female,60-64,681.9,10
2022,female,60-64,624.6,10
2020,female,60-64,575.2,10
2022,male,60-64,-629.7,10
2025,female,65-69,558.7,11
2020,male,65-69,-457.0,11
2024,female,65-69,536.4,11
2016,female,65-69,397.0,11
2016,male,65-69,-388.0,11
2017,female,65-69,412.8,11
2017,male,65-69,-402.9,11
2018,female,65-69,427.1,11
