state,population,area_km2,population_density
Kuala Lumpur,2074.1,243,8535.390947
Putrajaya,120.8,49,2465.306122
Pulau Pinang,1803.3,1048,1720.706107
Labuan,100.9,92,1096.73913
Selangor,7406.8,8104,913.9684107
Melaka,1052.5,1664,632.5120192
Perlis,297.8,821,362.72838
Kedah,2228,9500,234.5263158
Johor,4205.9,19210,218.9432587
Negeri Sembilan,1244.6,6686,186.1501645
Kelantan,1907.7,15099,126.3461156
Perak,2574.9,21035,122.4102686
Terengganu,1246.9,13035,95.65784427
Sabah,3759.6,73631,51.06001548
Pahang,1678.2,36137,46.43993691
Sarawak,2529.8,124450,20.32784251
