state,year,population
Johor,2016,14607.2
Johor,2017,14787.9
Johor,2018,14997.5
Johor,2019,15044.9
Johor,2020,16038.4
Johor,2021,16080
Johor,2022,16112.8
Johor,2023,16428.8
Johor,2024,16737.5
Johor,2025,16823.5
Kedah,2016,8478.6
Kedah,2017,8575.5
Kedah,2018,8651.3
Kedah,2019,8694.9
Kedah,2020,8525.8
Kedah,2021,8606.7
Kedah,2022,8652.4
Kedah,2023,8756.9
Kedah,2024,8868.4
Kedah,2025,8912.1
Kelantan,2016,7187.2
Kelantan,2017,7316
Kelantan,2018,7442
Kelantan,2019,7535.3
Kelantan,2020,7170.2
Kelantan,2021,7249.2
Kelantan,2022,7322.5
Kelantan,2023,7438.9
Kelantan,2024,7552
Kelantan,2025,7630.5
Melaka,2016,3604.3
Melaka,2017,3652.5
Melaka,2018,3689.7
Melaka,2019,3713.7
Melaka,2020,3993.7
Melaka,2021,4018.2
Melaka,2022,4034.4
Melaka,2023,4113
Melaka,2024,4187.2
Melaka,2025,4210.2
Negeri Sembilan,2016,4397.4
Negeri Sembilan,2017,4456
Negeri Sembilan,2018,4491.8
Negeri Sembilan,2019,4504.9
Negeri Sembilan,2020,4800.1
Negeri Sembilan,2021,4816.5
Negeri Sembilan,2022,4831.8
Negeri Sembilan,2023,4899.5
Negeri Sembilan,2024,4958.1
Negeri Sembilan,2025,4978.4
Pahang,2016,6506.7
Pahang,2017,6588.2
Pahang,2018,6658.9
Pahang,2019,6685.9
Pahang,2020,6365.5
Pahang,2021,6405.9
Pahang,2022,6456.9
Pahang,2023,6572.7
Pahang,2024,6671.1
Pahang,2025,6712.7
Perak,2016,9928.7
Perak,2017,9972.7
Perak,2018,10013.8
Perak,2019,10034.9
Perak,2020,9984
Perak,2021,10062.9
Perak,2022,10057.6
Perak,2023,10165.1
Perak,2024,10278
Perak,2025,10299.6
Perlis,2016,1003.9
Perlis,2017,1008.2
Perlis,2018,1014
Perlis,2019,1016.4
Perlis,2020,1139.6
Perlis,2021,1150.5
Perlis,2022,1158.9
Perlis,2023,1172.4
Perlis,2024,1187.1
Perlis,2025,1191.2
Pulau Pinang,2016,6870.9
Pulau Pinang,2017,6976.4
Pulau Pinang,2018,7051.3
Pulau Pinang,2019,7075.5
Pulau Pinang,2020,6961.9
Pulau Pinang,2021,6959.6
Pulau Pinang,2022,6963.8
Pulau Pinang,2023,7090.1
Pulau Pinang,2024,7202
Pulau Pinang,2025,7212.8
Sabah,2016,15211.1
Sabah,2017,15423.7
Sabah,2018,15593.6
Sabah,2019,15618
Sabah,2020,13675.1
Sabah,2021,13650.5
Sabah,2022,13659.9
Sabah,2023,14387
Sabah,2024,14967.9
Sabah,2025,15038.4
Sarawak,2016,10954.7
Sarawak,2017,11065.7
Sarawak,2018,11166.7
Sarawak,2019,11224.2
Sarawak,2020,9814.9
Sarawak,2021,9862
Sarawak,2022,9894.2
Sarawak,2023,10009.5
Sarawak,2024,10070
Sarawak,2025,10119.2
Selangor,2016,25166.2
Selangor,2017,25522.9
Selangor,2018,25900.2
Selangor,2019,26024.5
Selangor,2020,27977.6
Selangor,2021,28059
Selangor,2022,28201.4
Selangor,2023,28839
Selangor,2024,29451.2
Selangor,2025,29627.5
Terengganu,2016,4733.7
Terengganu,2017,4831.9
Terengganu,2018,4913.3
Terengganu,2019,4978
Terengganu,2020,4597.7
Terengganu,2021,4683
Terengganu,2022,4746.7
Terengganu,2023,4840.2
Terengganu,2024,4926.1
Terengganu,2025,4987.9
Kuala Lumpur,2016,7158.8
Kuala Lumpur,2017,7172.7
Kuala Lumpur,2018,7160
Kuala Lumpur,2019,7130.1
Kuala Lumpur,2020,7928.2
Kuala Lumpur,2021,7855.8
Kuala Lumpur,2022,7844.7
Kuala Lumpur,2023,8022.8
Kuala Lumpur,2024,8270.1
Kuala Lumpur,2025,8296.6
Labuan,2016,387.2
Labuan,2017,390.4
Labuan,2018,395.8
Labuan,2019,397.3
Labuan,2020,380.7
Labuan,2021,383.9
Labuan,2022,387.2
Labuan,2023,396.3
Labuan,2024,403.3
Labuan,2025,404.1
Putrajaya,2016,337.8
Putrajaya,2017,350.2
Putrajaya,2018,388.8
Putrajaya,2019,414.6
Putrajaya,2020,436.8
Putrajaya,2021,461
Putrajaya,2022,468
Putrajaya,2023,474.9
Putrajaya,2024,480.9
Putrajaya,2025,482.7
