state,year,population,natural_increase
Johor,2017,14787.9,180.7
Johor,2018,14997.5,209.6
Johor,2019,15044.9,47.4
Johor,2020,16038.4,993.5
Johor,2021,16080,41.6
Johor,2022,16112.8,32.8
Johor,2023,16428.8,316
Johor,2024,16737.5,308.7
Johor,2025,16823.5,86
Kedah,2017,8575.5,96.9
Kedah,2018,8651.3,75.8
Kedah,2019,8694.9,43.6
Kedah,2020,8525.8,-169.1
Kedah,2021,8606.7,80.9
Kedah,2022,8652.4,45.7
Kedah,2023,8756.9,104.5
Kedah,2024,8868.4,111.5
Kedah,2025,8912.1,43.7
Kelantan,2017,7316,128.8
Kelantan,2018,7442,126
Kelantan,2019,7535.3,93.3
Kelantan,2020,7170.2,-365.1
Kelantan,2021,7249.2,79
Kelantan,2022,7322.5,73.3
Kelantan,2023,7438.9,116.4
Kelantan,2024,7552,113.1
Kelantan,2025,7630.5,78.5
Melaka,2017,3652.5,48.2
Melaka,2018,3689.7,37.2
Melaka,2019,3713.7,24
Melaka,2020,3993.7,280
Melaka,2021,4018.2,24.5
Melaka,2022,4034.4,16.2
Melaka,2023,4113,78.6
Melaka,2024,4187.2,74.2
Melaka,2025,4210.2,23
Negeri Sembilan,2017,4456,58.6
Negeri Sembilan,2018,4491.8,35.8
Negeri Sembilan,2019,4504.9,13.1
Negeri Sembilan,2020,4800.1,295.2
Negeri Sembilan,2021,4816.5,16.4
Negeri Sembilan,2022,4831.8,15.3
Negeri Sembilan,2023,4899.5,67.7
Negeri Sembilan,2024,4958.1,58.6
Negeri Sembilan,2025,4978.4,20.3
Pahang,2017,6588.2,81.5
Pahang,2018,6658.9,70.7
Pahang,2019,6685.9,27
Pahang,2020,6365.5,-320.4
Pahang,2021,6405.9,40.4
Pahang,2022,6456.9,51
Pahang,2023,6572.7,115.8
Pahang,2024,6671.1,98.4
Pahang,2025,6712.7,41.6
Perak,2017,9972.7,44
Perak,2018,10013.8,41.1
Perak,2019,10034.9,21.1
Perak,2020,9984,-50.9
Perak,2021,10062.9,78.9
Perak,2022,10057.6,-5.3
Perak,2023,10165.1,107.5
Perak,2024,10278,112.9
Perak,2025,10299.6,21.6
Perlis,2017,1008.2,4.3
Perlis,2018,1014,5.8
Perlis,2019,1016.4,2.4
Perlis,2020,1139.6,123.2
Perlis,2021,1150.5,10.9
Perlis,2022,1158.9,8.4
Perlis,2023,1172.4,13.5
Perlis,2024,1187.1,14.7
Perlis,2025,1191.2,4.1
Pulau Pinang,2017,6976.4,105.5
Pulau Pinang,2018,7051.3,74.9
Pulau Pinang,2019,7075.5,24.2
Pulau Pinang,2020,6961.9,-113.6
Pulau Pinang,2021,6959.6,-2.3
Pulau Pinang,2022,6963.8,4.2
Pulau Pinang,2023,7090.1,126.3
Pulau Pinang,2024,7202,111.9
Pulau Pinang,2025,7212.8,10.8
Sabah,2017,15423.7,212.6
Sabah,2018,15593.6,169.9
Sabah,2019,15618,24.4
Sabah,2020,13675.1,-1942.9
Sabah,2021,13650.5,-24.6
Sabah,2022,13659.9,9.4
Sabah,2023,14387,727.1
Sabah,2024,14967.9,580.9
Sabah,2025,15038.4,70.5
Sarawak,2017,11065.7,111
Sarawak,2018,11166.7,101
Sarawak,2019,11224.2,57.5
Sarawak,2020,9814.9,-1409.3
Sarawak,2021,9862,47.1
Sarawak,2022,9894.2,32.2
Sarawak,2023,10009.5,115.3
Sarawak,2024,10070,60.5
Sarawak,2025,10119.2,49.2
Selangor,2017,25522.9,356.7
Selangor,2018,25900.2,377.3
Selangor,2019,26024.5,124.3
Selangor,2020,27977.6,1953.1
Selangor,2021,28059,81.4
Selangor,2022,28201.4,142.4
Selangor,2023,28839,637.6
Selangor,2024,29451.2,612.2
Selangor,2025,29627.5,176.3
Terengganu,2017,4831.9,98.2
Terengganu,2018,4913.3,81.4
Terengganu,2019,4978,64.7
Terengganu,2020,4597.7,-380.3
Terengganu,2021,4683,85.3
Terengganu,2022,4746.7,63.7
Terengganu,2023,4840.2,93.5
Terengganu,2024,4926.1,85.9
Terengganu,2025,4987.9,61.8
Kuala Lumpur,2017,7172.7,13.9
Kuala Lumpur,2018,7160,-12.7
Kuala Lumpur,2019,7130.1,-29.9
Kuala Lumpur,2020,7928.2,798.1
Kuala Lumpur,2021,7855.8,-72.4
Kuala Lumpur,2022,7844.7,-11.1
Kuala Lumpur,2023,8022.8,178.1
Kuala Lumpur,2024,8270.1,247.3
Kuala Lumpur,2025,8296.6,26.5
Labuan,2017,390.4,3.2
Labuan,2018,395.8,5.4
Labuan,2019,397.3,1.5
Labuan,2020,380.7,-16.6
Labuan,2021,383.9,3.2
Labuan,2022,387.2,3.3
Labuan,2023,396.3,9.1
Labuan,2024,403.3,7
Labuan,2025,404.1,0.8
Putrajaya,2017,350.2,12.4
Putrajaya,2018,388.8,38.6
Putrajaya,2019,414.6,25.8
Putrajaya,2020,436.8,22.2
Putrajaya,2021,461,24.2
Putrajaya,2022,468,7
Putrajaya,2023,474.9,6.9
Putrajaya,2024,480.9,6
Putrajaya,2025,482.7,1.8
