state,year,population,natural_increase_rate
Johor,2017,7394.0,1.234973575399101
Johor,2018,7498.8,1.4173654314308948
Johor,2019,7522.4,0.3147170213900763
Johor,2020,8019.3,6.605604594278436
Johor,2021,8040.2,0.26062125123140767
Johor,2022,8056.400000000001,0.20148752518593938
Johor,2023,8214.4,1.9611737252370753
Johor,2024,8368.699999999999,1.878408648227503
Johor,2025,8411.699999999999,0.5138193506757371
Kedah,2017,4287.7,1.1393121668160644
Kedah,2018,4325.5,0.8815915292581078
Kedah,2019,4347.599999999999,0.5109235926482381
Kedah,2020,4262.900000000001,-1.9482013064679116
Kedah,2021,4303.4,0.9500574726125199
Kedah,2022,4326.4,0.5344611237626085
Kedah,2023,4378.5,1.2042344674556338
Kedah,2024,4434.3,1.2744090441932254
Kedah,2025,4456.0,0.4893669801321554
Kelantan,2017,3657.9,1.7921246695422388
Kelantan,2018,3720.8,1.719565871128248
Kelantan,2019,3767.7,1.2604816168565902
Kelantan,2020,3585.2,-4.843803912201072
Kelantan,2021,3624.6,1.0989624009818177
Kelantan,2022,3661.2999999999997,1.0125255200573724
Kelantan,2023,3719.4,1.5868680523311474
Kelantan,2024,3775.8,1.5163736086465596
Kelantan,2025,3815.3,1.0461359182160068
Melaka,2017,1826.2,1.337328672104765
Melaka,2018,1845.0,1.0294600810426102
Melaka,2019,1856.8,0.6395663956639597
Melaka,2020,1996.8,7.5398535114174825
Melaka,2021,2009.1,0.6159855769230838
Melaka,2022,2017.1,0.3981882434921147
Melaka,2023,2056.5,1.9532992910614277
Melaka,2024,2093.5,1.799173352783856
Melaka,2025,2105.2,0.5588727012180383
Negeri Sembilan,2017,2227.9,1.3280574885159435
Negeri Sembilan,2018,2245.7000000000003,0.7989586606221177
Negeri Sembilan,2019,2252.3,0.2938949993320561
Negeri Sembilan,2020,2400.1,6.5621808817653005
Negeri Sembilan,2021,2408.3,0.3416524311487201
Negeri Sembilan,2022,2415.9,0.3155753020803065
Negeri Sembilan,2023,2449.6,1.3949252866426454
Negeri Sembilan,2024,2479.2,1.2083605486610027
Negeri Sembilan,2025,2489.2,0.40335592126492514
Pahang,2017,3294.1,1.2541112101558394
Pahang,2018,3329.4,1.0716128836404604
Pahang,2019,3342.9,0.4054784645882048
Pahang,2020,3182.6,-4.795237667893149
Pahang,2021,3203.1,0.6441274429711541
Pahang,2022,3228.5,0.7929817988823418
Pahang,2023,3286.4,1.7934025089050731
Pahang,2024,3335.5,1.4940360272638786
Pahang,2025,3356.3,0.6235946634687517
Perak,2017,4986.4,0.4472019660771043
Perak,2018,5006.8,0.4091127867800637
Perak,2019,5017.6,0.21570663897101383
Perak,2020,4992.2,-0.506218112244905
Perak,2021,5031.5,0.7872280757982519
Perak,2022,5028.8,-0.053661929841997136
Perak,2023,5082.5,1.0678491886732422
Perak,2024,5139.0,1.1116576487948837
Perak,2025,5149.8,0.21015761821365775
Perlis,2017,504.0,0.4184100418409997
Perlis,2018,507.2,0.6349206349206327
Perlis,2019,508.1,0.17744479495269694
Perlis,2020,569.6999999999999,12.123597716984836
Perlis,2021,575.2,0.9654203967000452
Perlis,2022,579.5,0.7475660639777448
Perlis,2023,586.1,1.138912855910279
Perlis,2024,593.7,1.296707046579093
Perlis,2025,595.6,0.3200269496378638
Pulau Pinang,2017,3487.7999999999997,1.5252954532223306
Pulau Pinang,2018,3525.6,1.0837777395492854
Pulau Pinang,2019,3537.7,0.34320399364646814
Pulau Pinang,2020,3480.9,-1.6055629363710855
Pulau Pinang,2021,3479.8,-0.03160102272400378
Pulau Pinang,2022,3481.9,0.06034829587906465
Pulau Pinang,2023,3545.1,1.8151009506303994
Pulau Pinang,2024,3600.9,1.5740035542015862
Pulau Pinang,2025,3606.5,0.15551667638644684
Sabah,2017,7711.9,1.3989875747814073
Sabah,2018,7796.8,1.1008960178425564
Sabah,2019,7808.9,0.15519187358916664
Sabah,2020,6837.6,-12.438371601634024
Sabah,2021,6825.099999999999,-0.18281268281269414
Sabah,2022,6830.1,0.0732589998681421
Sabah,2023,7193.4,5.319102209338067
Sabah,2024,7484.0,4.0398142741957965
Sabah,2025,7519.2,0.4703367183324314
Sarawak,2017,5532.7,1.007759014148779
Sarawak,2018,5583.3,0.9145625101668386
Sarawak,2019,5612.1,0.5158239750685079
Sarawak,2020,4907.4,-12.556796920938694
Sarawak,2021,4931.0,0.480906386273805
Sarawak,2022,4947.1,0.3265057797606996
Sarawak,2023,5004.7,1.1643184896201753
Sarawak,2024,5034.9,0.603432773193191
Sarawak,2025,5059.8,0.49454805457904705
Selangor,2017,12761.5,1.4177746342316278
Selangor,2018,12950.0,1.4770990870979217
Selangor,2019,13012.300000000001,0.4810810810810917
Selangor,2020,13988.8,7.5044381085588086
Selangor,2021,14029.6,0.291661900949336
Selangor,2022,14100.800000000001,0.5074984318868658
Selangor,2023,14419.5,2.2601554521729295
Selangor,2024,14725.5,2.122126287319248
Selangor,2025,14813.6,0.5982818919561428
Terengganu,2017,2415.9,2.0702184291689463
Terengganu,2018,2456.7,1.6888116229976324
